Title,Certificate,Rating,Metascore,Scaled Rating
Gojira -1.0,PG-13,8.0,81.0,80.0
Le scaphandre et le papillon,PG-13,8.0,92.0,80.0
Jodorowsky's Dune,PG-13,8.0,79.0,80.0
Okuribito,PG-13,8.0,68.0,80.0
Dare mo shiranai,PG-13,8.0,88.0,80.0
Taylor Swift: The Eras Tour,PG-13,8.1,82.0,81.0
Blackfish,PG-13,8.1,83.0,81.0
The Salt of the Earth,PG-13,8.4,83.0,84.0
Samsara,PG-13,8.4,65.0,84.0
Senna,PG-13,8.5,79.0,85.0
Dune: Part Two,PG-13,8.7,79.0,87.0
